url,week_price,location,desc,topics,available_now,photos_taken_on
https://myrooms.co.uk/properties/amazing-double-room-for-single-use-in-kentish-town-oseney-crescent-nw5-c/,220,Kentish Town Station,"Amazing double room for single use in Kentish Town, Oseney Crescent, NW5 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-03-01
https://myrooms.co.uk/properties/double-room-for-single-use-available-in-the-great-kentish-town-oseney-crescent-nw5-d/,195,Kentish Town Station,"Double room for single use available in the great Kentish Town, Oseney Crescent, NW5 -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-03-01
https://myrooms.co.uk/properties/lovely-double-room-for-single-use-in-fulham-lancaster-court-sw6-b/,215,Fulham Broadway Underground Station,"Lovely double room for single use in Fulham, Lancaster Court, SW6, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-06-01
https://myrooms.co.uk/properties/lovely-double-room-for-single-use-in-a-fantastic-flat-share-in-grove-hall-court-nw8-c/,235,St. John's Wood Underground Station,"Lovely double room for single use in a fantastic flat share in St. John’s Wood, Grove Hall Court, NW8, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-11-01
https://myrooms.co.uk/properties/marvellous-double-room-for-single-use-in-a-brand-new-flatshare-in-camden-bayham-street-nw1-b/,225,Camden Town Underground Station,"Marvellous double room for single use in a brand new flatshare in Camden, Bayham Street, NW1, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-04-01
https://myrooms.co.uk/properties/gorgeous-accommodation-for-single-use-in-a-modern-flatshare-in-hammersmith-flora-gardens-w6-b/,225,Hammersmith Underground Station,"Gorgeous accommodation for single use in a modern flatshare in Hammersmith, Flora Gardens, W6, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/lovely-accommodation-for-single-use-in-a-flatshare-in-camden-high-street-nw1-b/,235,Camden Town,"Lovely accommodation for single use in a flatshare in Camden High Street, NW1 -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/an-amazing-double-room-to-rent-in-notting-hill-bonchurch-road-w10/,285,Ladbroke Grove Underground Station,"An amazing double room to rent in Notting Hill, Bonchurch Road, W10, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Garden/Terrace']",False,2015-03-01
https://myrooms.co.uk/properties/massive-double-room-for-single-use-in-cristchurch-avenue-nw6-d/,190,KILBURN TUBE STATION,"Lovely double room for single use in Christchurch Avenue, NW6 -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-02-01
https://myrooms.co.uk/properties/lovely-accommodation-for-single-use-in-a-brand-new-flatshare-in-angel-canonbury-square-n1-a/,220,Angel Underground Station,"Lovely accommodation for single use in a brand new flatshare in Angel, Canonbury Square, N1, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/astonishing-double-room-rent-chelsea-ashburnham-tower-sw10/,205,Fulham Broadway,"An astonishing double room to rent in Chelsea, Ashburnham Tower, SW10 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/double-room-for-couple-available-in-a-three-bedrooms-apartment-in-grove-hall-court-nw8-a/,285,St. John's Wood,"Double-room for couple available in a three bedrooms apartment in Grove Hall Court, NW8 -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-11-01
https://myrooms.co.uk/properties/bute-street-london-sw7-3ey/,265,South Kensington Underground Station,"An amazing double room available in South Kensington, Bute Street, SW7, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2014-12-01
https://myrooms.co.uk/properties/fantastic-accommodation-for-single-use-in-a-brand-new-flat-in-golders-green-gainsborough-gardens-nw11-c/,195,Golders Green,"Fantastic accommodation for single use in a brand new flat in Golders Green, Gainsborough Gardens, NW11, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Garden/Terrace']",False,2018-10-01
https://myrooms.co.uk/properties/incredible-double-room-rent-chelsea-ashburnham-mansions-sw10/,245,Fulham Broadway,"An incredible double room to rent in Chelsea, Ashburnham Mansions, SW10 -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/fancying-live-holborn-lovely-double-room-single-use-red-lion-square-wc1r-b/,270,Holborn Underground Station,"Fancying to live in Holborn? Lovely double room for single use in Red Lion Square, WC1R, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-02-01
https://myrooms.co.uk/properties/lovely-accommodation-for-single-use-in-a-nice-flatshare-in-132-lombard-road-sw11-c/,255,Clapham Junction,"Lovely accommodation for single use in a nice flatshare in 132 Lombard Road, SW11 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Selection of shops']",False,2018-10-01
https://myrooms.co.uk/properties/112-lombard-road-sw11-b/,260,Clapham Junction,"A cosy double room to rent in a brand new 4 bedroom flat in 112 Lombard Road, SW11 -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-10-01
https://myrooms.co.uk/properties/double-room-available-paddington-westbourne-park-road-w2/,285,Paddington,"A fantastic en-suite available, Westbourne Park, 79 Westbourne Park Road, W2 -A","['Bars at proximity', 'Broadband', 'Close to the tube', 'En-suite', 'Fantastic location', 'Fully Furnished']",False,2015-04-01
https://myrooms.co.uk/properties/112-lombard-road-sw11-d/,275,Clapham Junction,"A new double room to rent available in Clapham Junction , 112 Lombard Road, SW11, -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Fantastic location', 'Fully Furnished', 'Restaurants']",False,2018-10-01
https://myrooms.co.uk/properties/112-lombard-road-sw11-c/,255,Clapham Junction,"A fantastic room for single use to rent in Clapham, 112 Lombard Road, SW11 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-10-01
https://myrooms.co.uk/properties/modern-double-room-for-single-use-in-the-lovely-kentish-town-oseney-crescent-nw5-b/,210,Kentish Town Underground Station,"Modern double room for single use in the lovely Kentish Town, Oseney Crescent, NW5, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-03-01
https://myrooms.co.uk/properties/pretty-double-room-rent-stockwell-allan-house-sw8/,190,Stockwell,"A pretty double room to rent in Stockwell, Allan House, SW8 -E","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/massive-double-room-private-access-garden-acton-noel-road-w3/,205,West Acton,"Delightful double room with private access to the garden in Acton, Noel Road, W3 -E","['Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Garden/Terrace']",False,2018-01-01
https://myrooms.co.uk/properties/double-room-for-single-use-in-kilburn-princess-court-nw2-a/,195,Kilburn Underground Station,"Spacious double room for single use in Kilburn, Princess Court, NW2, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-02-01
https://myrooms.co.uk/properties/lutyens-house-sw1v-3ab/,195,Pimlico,"Lovely double room to rent in Pimlico, Lutyens House, SW1V -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2014-12-01
https://myrooms.co.uk/properties/fancying-live-pimlico-gorgeous-double-room-lutyens-house-sw1v/,190,Pimlico,"Fancying to live in Pimlico? We have a gorgeous double room at Lutyens House, SW1V -B","['Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Restaurants']",False,2014-12-01
https://myrooms.co.uk/properties/a-fantastic-room-to-rent-in-acton-noel-road-w3/,180,West Acton Underground Station,"A fantastic room to rent in a great house-share with garden in Acton, Noel Road, W3, -A","['Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Garden/Terrace']",False,2015-08-01
https://myrooms.co.uk/properties/hawthorne-close-n1-b/,215,Dalston Junction,"A lovely double room to rent in Dalston, Hawthorne Close, N1 – B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-01-01
https://myrooms.co.uk/properties/brand-new-double-room-available-baker-street-farley-court-n1w/,245,Baker Street,"A brand new double room available in Baker Street, Farley Court, NW1 -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/spacious-bright-double-room-lovely-flatshare-bermondsey-druid-street-se1/,215,Bermondsey,"Spacious and bright double room in a lovely flatshare in Bermondsey, Druid Street, SE1, -E","['Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-01-01
https://myrooms.co.uk/properties/gracious-double-room-for-couples-in-a-3-bedroom-apartment-in-london-bridge-magdalen-street-se1-c/,285,London Bridge,"Gracious double room for couples in a 3 bedroom apartment in London Bridge, Magdalen Street, SE1 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/lovely-double-room-available-in-a-three-bedrooms-apartment-in-edrich-house-sw4-a/,225,Stockwell Tube Station,"Lovely double room available in a three bedrooms apartment in Edrich House, SW4, -A","['Balcony', 'Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-11-01
https://myrooms.co.uk/properties/lovely-spacious-double-room-available-baker-street-farley-court-n1w/,265,Baker Street Underground Station,"A lovely and spacious double room available in Baker Street, Farley Court, NW1,-C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/lovely-brand-new-room-located-shepherds-bush-loftus-road-w12/,225,Shepherd's Bush,"A lovely brand new room located in Shepherd’s Bush, Loftus Road, W12 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/classy-double-room-single-use-central-london-pimlico-tachbrook-street-maisonette-sw1v/,270,Pimlico,"A classy double room for single use in Central London, Pimlico, at Tachbrook Street (MAISONETTE), SW1V -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-10-01
https://myrooms.co.uk/properties/superb-double-room-lovely-flatshare-kentish-town-islip-street-nw5/,185,Kentish Town,"Superb double room in a lovely flatshare in Kentish Town, Islip Street, NW5 -D","['Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-01-01
https://myrooms.co.uk/properties/modern-double-room-single-use-in-old-street-hoxton-street-n1-a/,215,Old Street,"Modern double room for single use in Old Street, Hoxton Street, N1, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-07-01
https://myrooms.co.uk/properties/paddington-orsett-terrace-w2/,290,Paddington Underground Station,"Lovely en-suite room available in Paddington, Orsett Terrace, W2, -B","['Broadband', 'Close to the tube', 'En-suite', 'Fantastic location', 'Fully Furnished', 'Living room']",False,2015-01-01
https://myrooms.co.uk/properties/amazing-double-room-for-single-use-in-a-new-flatshare-in-the-heart-of-angel-barnsbury-road-n1-d/,250,Angel,"Amazing double room for single use in a new flatshare in the heart of Angel, Barnsbury Road, N1 -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/lovely-double-room-rent-kings-cross-jocelin-house-n1/,215,King's Cross Underground Station,"A lovely double room to rent in King’s Cross, Jocelin House, N1, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/new-flat-gorgeous-en-suite-room-single-use-lovely-flatshare-earls-court-warwick-gardens-c/,245,Earl's Court,"New flat: gorgeous double room for single use in a lovely flatshare in Earl’s Court, Lexham Gardens, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-01-01
https://myrooms.co.uk/properties/bright-double-room-for-single-use-in-kings-cross-thornhill-bridgewharf-n1-c/,265,King's Cross Underground Station,"Bright double room for single use in King’s Cross, Thornhill Bridgewharf, N1, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-05-01
https://myrooms.co.uk/properties/brand-new-room-to-rent-available-in-camden-eton-road-nw3/,225,Chalk Farm Underground Station,"Large room to rent available in Camden, Eton Road, NW3, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2015-05-01
https://myrooms.co.uk/properties/lovely-single-room-available-in-a-brand-new-flatshare-in-the-heart-of-holborn-red-lion-square-wc1r-a/,210,Holborn Underground Station,"Lovely single room available in a brand new flat-share in the heart of Holborn, Red Lion Square, WC1R, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/gorgeous-double-room-couples-rent-holloway-elfort-road-n5/,245,Arsenal,"A gorgeous double room for couples to rent in Holloway, Elfort Road, N5 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/double-room-couple-rent-victoria-regency-street-sw1/,275,Victoria Underground Station,"Marvelous double room for couples to rent in Victoria, Regency Street, SW1, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2015-02-01
