title,desc,url,type,pcm_price,pw_price,bills_included,available_now,location,new_today
b'1 month double room in beautiful Angel flat',b'*** Doulbe room for 1 month November ***Flexible moving date (early Nov)Flat has 3 Double bedrooms - 2 Bathrooms (one with shower and separate...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=3869771&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D110&,Double room,850,,False,False,Angel (N1),True
b'Couples Room with Ensuite in Gorgeous Home!',"b'Hi All, We are looking for a couple to replace us in a double room with ensuite Clapham in a gorgeous Victorian town house in London. We have...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13943092&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D110&,Double room,200,,False,False,Clapham (SW11),True
b'Double bedroom in Marylebone',b'No time to lose! Room available in very CLEAN colocation near the station Edgware Road - Marylebone.The apartment includes:               A...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13942831&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D110&,Double room,910,,True,True,Marylebone (NW1),True
b'Spacious double room in large 4 bedroom house',"b'We are looking for a new housemate to rent this spacious double bedroom in a large 4 bedroom house. The house has a back garden, bathroom, separate...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13942762&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D110&,Double room,823,,False,True,Wandsworth (SW18),True
b'Newly renovated Canada Water home',b'I am so excited to be renting out this fabulous NEWLY RENOVATED and refurbished mid terrace house 5-10 mins walk into Canada Water.  Located on...',https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=13928257&search_id=885030262&offset=120&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,5 doubles,850-950,,True,False,Surrey Quays (SE8),False
b'Large Double Room in Dalston 2-bed house',"b'THE HOUSE: this is a huge two bed with a big living room, spacious kitchen and garden. The bathroom has a sky light that lets in loads of natural...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13942645&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,025,,False,False,Dalston Junction (E8),True
b'Bedroom ensuite all in Putney////////',b'Furnished bedroom ensute 26/10 available.5 minutes walk to East Putney tube.Rent include all bills/communal clean.Kitchen has all the...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=9846985&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,870,,True,False,Putney (SW15),True
b'Fantastic Studio to let in 3-bed houseshare',"b'Studio suitable for single non-smoking professional person in lovely Victorian 3-bed HouseshareStudio is furnished to a high standard, with...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=697982&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,000,,True,True,Peckham Rye (SE15),True
b'Student Only - Lovely Bedroom in West Hampstead',"b'Lovely ground floor flat, double room, shared kitchen.  Amenities:- Bills Included- Virgin Media Superfast Fibre Optic Broadband. - Samsung...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=5051050&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,850,,True,True,West Hampstead (NW6),False
b'Double room in Shepherds Bush',b'Double room in a shared house off the Uxbridge Road. The house is very clean and quiet and has great transport links: Shepherds Bush Market Station...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13880395&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,,180,True,True,Shepherds Bush (W12),False
b'Double room in Parsons Green 7 mins to tube!',b'This great house is located in between Parsons Green and Bishops Park and is only a 10-minute walk to Parsons Green tube station. The stunning...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=4466549&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,,239,True,True,Parsons Green (SW6),False
b'Double rooms 8 min walk from Clapham South!',"b'Cavendish Road: This large, wonderful house is situated on Cavendish Road which gives you easy access to some of the greatest places in Clapham as...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=10832191&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,2 doubles,,209-259,True,True,Clapham (SW12),False
b'Modern house 5 mins from Clapham South',"b'Gaskarth Road is in the prime location for access to Clapham South tube and also to be on the Common within a short walk. The house is very large,...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=6017107&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,,269,True,True,London SW12 (SW12),False
b'SHORT LET Double room 8 min walk to Clapham J',b'Amazing light double rooms a short walk from Clapham Junction 2 MONTH LETMallinson Road is a great location to be really in the hustle and bustle...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=5439187&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,,229,True,False,London SW11 (SW11),False
b'Great rooms in house 20 mins from Piccadilly Circu',b'Newly refurbished six bedroom house only 5 minutes to Barons Court Station ALL BILLS INCLUDEDThere are two bathrooms to share.There is a...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=11233885&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D120&,Double room,,239,True,True,Barons Court (W6),False
b'ELG23 1 23 Extra Lge dble with Gdns',"b'EXCELLENT LOCATION WITH SEPARATE EAT IN DINING AREA1.\tNext to the large green parkland areas of Paddington recreational grounds, with sports...'",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=13908076&search_id=885030262&offset=130&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,,229,False,False,Maida Vale (W9),False
b'\xc3\xb0\xc2\x9f\xc2\x9a\xc2\x80Extra Large Room \xc3\xb0\xc2\x9f\xc2\x9a\xc2\x80',b'Special offer :Available now \xc3\xb0\xc2\x9f\xc2\x98\xc2\x80ALL UTILITY BILLS AND Council Tax includedChalk Farm ( borough of Camden ) Great Area between Belsize Park...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13902064&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,900,,True,True,Chalk Farm (NW5),False
b'\xc3\xb0\xc2\x9f\xc2\x8e\xc2\x89Great News: Last Room\xc3\xb0\xc2\x9f\xc2\x8e\xc2\x89',b'AVAILABLE NOW \xc3\xb0\xc2\x9f\xc2\x8e\xc2\x89ALL BILLS & Council Tax included Amazing modern house located in a great area between Willesden Green and Dollis Hill -...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13907875&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,780,,True,True,Willesden Green (NW10),False
b'\xc3\xb0\xc2\x9f\xc2\x92\xc2\xabNew: Bright & Modern Room \xc3\xb0\xc2\x9f\xc2\x92\xc2\xab',"b'\xc3\xa2\xc2\x9a\xc2\xa1\xc3\xaf\xc2\xb8\xc2\x8fAVAILABLE IMMEDIATELY \xc3\xa2\xc2\x9a\xc2\xa1\xc3\xaf\xc2\xb8\xc2\x8fUtility bills and Council Tax includedVery modern , bright and spacious fully furnished room : 3 doors...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13882819&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,950,,True,True,Archway (N19),False
b'\xc3\xa2\xc2\x98\xc2\x80\xc3\xaf\xc2\xb8\xc2\x8fArchway: Cool Room \xc3\xa2\xc2\x98\xc2\x80\xc3\xaf\xc2\xb8\xc2\x8f',b'LAST ROOM AVAILABLE \xc3\xb0\xc2\x9f\xc2\x92\xc2\xabAll utility bills and Council Tax includedLovely room with wooden floors and large windows that allow plenty of...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13887277&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,850,,True,True,Archway (N19),False
b'Double Ensuite with Garden Access in Fulham',b'A compact double en-suite in a not so long ago refurbished to a high standard house with 5 fitted bathrooms and a TV in each room.Dawes Road is...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13668346&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,,210,True,False,Fulham Broadway (SW6),False
b'Zone 1 -  Bayswater - Paddington - Hyde Park',"b'The property is located zone 1 central in the heart of London, but in a peaceful area, quietly tucked away from the hustle and bustle of the City...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=5874946&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,850,,False,False,Bayswater (W2),False
b'Xtra Large Double Room! All Included- North Acton',"b'Beautifully presented property located within walking distance of amenities, tube station, rail and buses.The house is in a really great condition...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12993874&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,2 doubles,800-850,,True,True,Acton (W3),False
b'Stunning Clean New Rooms in Camden Available',b'Please note one double room available until 1st September then all rooms will be available-\n\nNOTE - FURNITURE SUPPLIED WITH ALL ROOMS ! This gorgeous...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=3590604&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Single + 3 doubles,760-975,,True,True,Camden Town (NW1),False
b'Lovely Double Room S Zone 2 Kensal Green Queen',b'Few rooms. Please read the add fully and answer ALL 9 QUESTIONS BELOW IN first /1 SINGLE MESSAGE if you would like a response and appointment....',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13690240&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,4 doubles,650-780,,True,True,Willesden (NW10),False
b'Very Lovely Double Room (All Bills Inc)',b'SW15 5EU __ VERY LOVELY DOUBLE ROOM (ALL BILLS INCLUSIVE ) .... It is available 1st NOVEMBER 2019Double  room: \xc3\x82\xc2\xa3190 Per Week--- the room...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13221283&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D130&,Double room,,190,True,False,Putney (SW15),False
b'Exquisite Double Rooms In Zone 1',"b""Get a room in a delightful 5-bedroom period home. It's recently refurbished with tons of living space and a large garden. Conveniently located close...""",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=12926608&search_id=885030262&offset=140&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,2 doubles,083-235,,True,True,Elephant and Castle (SE17),False
b'***Awesome Very Large Room****',b'AWESOME LARGE ROOM -  with plenty of storage - \xc3\x82\xc2\xa3250.00 pw  NOW AVAILABLE  An amazing Bright and Clean Room with  BILLS INCL & complimentary WI-FI...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=4419066&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,,250,False,False,London W6 (W6),False
b'J) Big Double in Dalston / Canonbury',"b'1 large double room in a lovely flat in Canonbury, between Islington and Dalston.The flat includes a large kitchen diner and 2 bathrooms. It is...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13664485&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,930,,True,True,Angel (N1),False
"b'Large Room Next To River, Twice A Week Cleaner!'","b'This large and nice double room is located in Homerton (Hackney) Zone 2, Postcode: E9 5PNClose to Hackney Central, Clapton, Hackney Wick and...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12991804&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,,185,True,False,Hackney (E9),False
b'Private Floor Lg Dbl Ensuite in Luxury Garden Flat',"b'Hi! I am looking for a lovely, clean, respectful, happy, easy going girl or guy flatmate (no couples please), who is dog friendly to join myself, an...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=3537277&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,250,,True,False,Chiswick (W4),False
"b'En-Suite DBL inc Cleaner, SKY TV, Pool, Gym, Sauna'","b'A large, bright, south facing, en suite double room, in a four story townhouse on the stunning St Davids Square development.The price includes ALL...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13946806&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,950,,True,False,Canary Wharf (E14),False
b'En-Suites  Brixton',"b'We have an Ensuites  available in house, situated 8 minute walk from Brixton tube station (Victoria Line) and only 10 minute walk from Oval tube...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=9944236&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,955,,True,True,Brixton (SW9),False
b'Don\xc3\xa2\xc2\x80\xc2\x99t miss- fab flatshare NW6',"b'FIRST VIEWINGS SUNDAY. Fab room in 3 bed 2 bath newly refurbished flat in Cavendish Rd, Brondesbury NW6, 2 mins walk to the tube. Huge lounge/diner,...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13939168&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,,180,False,False,Brondesbury (NW6),False
b'Great flat by Tower Bridge',"b""Hey there,My name is Zak, 26 years old, working in Finance and I'm looking for a cool tidy clean easy going flatmate - only that - to share a...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12171862&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,075,,False,False,Wapping (E1),False
b'Double Room In Caledonian Road',"b'A 2 minute walk from Caledonian road station on the Piccadilly line, this is a spacious double room located minutes away from the thriving part of...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=4141986&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,000,,True,True,Caledonian Road (N7),False
b'Large Balcony Double Room Essex Road N1 Available',b'Lovely renovated flat split over two floors in ex local building located close to Essex road \n\nLarge double with balcony \xc3\x82\xc2\xa3900  available 12th...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=5442049&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D140&,Double room,900,,True,True,Essex Road (N1),False
b'Lovely Double Room with Ensuite Camden!',"b'Perfectly located, with Caledonian Road Station within a 15 min walk, giving you access to the Piccadilly line.The Collective Camden hosts a...'",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=13908088&search_id=885030262&offset=150&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,Double room,213,,True,True,Caledonian Road (N7),False
b'Double Room for Rent in Bayswater',"b'Double Room for Rent in Central London- Bayswater - Notting Hill Gate Suitable for student or professional .The room has double bed, computer...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=7608253&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,Double room,950,,True,True,Bayswater (W2),False
b'Brix and Mortar',"b'Great 6 bedroom Victorian home in the centre of Brixton.The monthly rent takes care of everything in one monthly bill. Water, gas and electricity,...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=6707722&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,Double room,192,,True,True,Brixton (SW2),False
b'Brand New Stratford Duplex',"b'Rooms in a brand new three bed apartment, set over two floors, with its own large outdoor terrace. 10 minutes walk to the Olympic Park, Westfield and...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13933987&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,3 doubles,175-440,,True,True,Stratford (E15),False
b'Welcome to the Junction',"b""Every single room in this house has an ensuite bathroom. That's all you need to know. The monthly rent takes care of everything in one monthly...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12196402&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,5 doubles,213-430,,True,True,Clapham Junction (SW11),False
b'Super Stratford Living',"b'Apartments in a brand new building, with a great balcony overlooking Stratford. 10 minutes walk to the Olympic Park, Westfield and Stratford Station...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12134131&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,3 doubles,075-300,,True,True,Stratford (E15),False
b'Vauxhall Beautiful Duplex Home',"b'Great brand new modern apartments, set over two floors less than 10 minutes from Vauxhall station. The monthly rent takes care of everything in...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12129913&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,3 doubles,170-603,,True,True,Vauxhall (SW8),False
b'Homestyle Luxury in Elephant and Castle',"b'A beautifully refurbished flat in zone 1. A great space for 4 people to share, minutes walk to Elephant and Castle station.The monthly rent takes...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12052306&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,4 doubles,000-127,,True,True,Elephant and Castle (SE17),False
"b""There's no place like home""","b'This is a great six bedroom home, with a huge open plan kitchen and even huge-r back garden, perfect for shared living. The monthly rent takes...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=9158710&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,Single + 5 doubles,148-430,,True,True,Clapham Junction (SW11),False
b'Beautiful Stockwell Victorian house',"b'Beautifully restored 6 bedroom Victorian home, with large double rooms and great decked back garden. The monthly rent takes care of everything in...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=7723669&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,6 doubles,127-408,,True,True,Stockwell (SW9),False
b'Luxury home in Clapham Junction',"b'Beautifully finished 6 bedroom home in the heart of Clapham Junction.The monthly rent takes care of everything in one monthly bill. Water, gas and...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=7698517&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D150&,5 doubles,127-257,,True,True,Clapham Junction (SW11),False
"b'Oxford Circus, Dbl Rm, Sky tv + WIFI + cleaner.'","b'This is the biggest little room in town.Cosy double room in a Fitzrovian Victorian Mansion block near Oxford Circus. Tottenham Court Rd, Great...'",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=2407181&search_id=885030262&offset=160&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,Double room,995,,True,False,Oxford Circus (W1),False
b'Luxury double rooms in the heart of Stratford',"b'Apartments in a brand new building, with a great balcony overlooking Stratford. 10 minutes walk to the Olympic Park, Westfield and Stratford Station...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12823279&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,3 doubles,075-350,,True,True,Stratford (E15),False
b'Beautiful 3 beds by the riverside',"b'Beautiful 3 bedroom apartment, with a large living room leading onto a spacious balcony with serious views. Conveniently located at a 10 minute walk...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13263901&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,Double room,250,,True,True,Greenwich (SE8),False
b'New Deptford Apartments - Stunning Ensuite Rooms',"b'We currently have amazing rooms on offer for couples in a brand new development, boasting a spacious balcony and an extremely convenient location,...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13294309&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,Double room,150,,True,True,Deptford (SE8),False
b'Exquisite Double Rooms In Zone 1',"b""Get a room in a delightful 5-bedroom period home. It's recently refurbished with tons of living space and a large garden. Conveniently located close...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12926608&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,2 doubles,083-235,,True,True,Elephant and Castle (SE17),False
b'Delightful doubles in the heart of Brixton',"b""Get a room in a beautiful Victorian house right in the heart of Brixton. It's fully furnished & thoughtfully designed with a stunning kitchen leading...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12910798&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,Double room,127,,True,True,Brixton (SW2),False
b'Beautiful double rooms close to Bank and Canary Wh',"b'This amazing penthouse, 3-bed apartment is set across two floors in a brand new apartment building. There\xc3\xa2\xc2\x80\xc2\x99s a large living room, leading onto...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12880219&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,Double room,100,,True,True,Greenwich (SE10),False
b'Beautiful double Dalston rooms',"b'Lovely three bedroom flat in the heart of Dalston, with a balcony that gives awesome views across the city. The monthly rent takes care of...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12320122&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,Double room,213,,True,True,Dalston Junction (E8),False
b'Beautiful Putney double rooms',"b'Huge Victorian home in a lovely Putney neighbourhood, with basement den for serious Netflix binges. The monthly rent takes care of everything in...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12320011&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,2 doubles,148-192,,True,True,Putney (SW18),False
b'Westminster Winner',b'Incredible Zone 1 location in the heart of Westminster. Rooms in a six bedroom house with its own private roof terrace.Current photos...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13938094&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,6 doubles,200-600,,True,True,Westminster (SW1),False
b'Double en suite room available in Turnpike Lane',"b'*Available on the 3rd Nov 2019***Not suitable for Couples**Hi everyone,We have a fantastic opportunity for you to get a SPACIOUS DOUBLE EN...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=11285260&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D160&,Double room,850,,True,False,Turnpike Lane (N15),False
b'154a Double Room in refurbished garden flat',b'Hi thereWe have a huge ensuited bedroom available in our super friendly female only flat. The large garden flat is located 8 mins walk from...',https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=11551627&search_id=885030262&offset=170&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D170&,Double room,860,,True,True,Turnham Green (W4),True
b'Twin/Double Room Available in Victoria Park',"b""Hi,This is the spacious and fully furnished Flat.TWIN/Double Room  Available NOW.The house is fully furnished with comfortable furniture's...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13917568&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D170&,Double room,,200,True,True,Hackney Wick (E9),False
b'Double room available in stunning Brixton flat!',"b'Furnished double room available in a contemporary, secure and bright two-bedroom apartment, from November!\nI\xc3\xa2\xc2\x80\xc2\x99m looking for a female professional...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13901299&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D170&,Double room,845,,False,False,Brixton (SW2),False
"b'Double Room, Great Central Location'","b'Double Room, Great Location !            Zone 1  Available for a Student or Young Professional Available Now \xc3\x82\xc2\xa3850 per month including most of...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13694149&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D170&,Double room,850,,False,True,London NW8 (NW8),False
b'Double room in Kennington',"b'I am looking for a quiet and considerate faltmate. The room available is a spacious, well lit, double room with plenty of storage. It contains a...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=11017021&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D170&,Double room,,225,True,False,Kennington (SE11),False
"b'Large double, no bills, 7 min to tube'",b'All the utility bills and the council tax are included in the monthly rent. The only additional charge will be for the weekly cleaner and will be...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=1396785&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D170&,Double room,,185,True,True,London N19 (N19),False
